postalCode,activity,location,date,time,neighbourhood,quote,popupContent,lon,lat
N2G 3H4,Fall Family Fun Fair,90 Benton Street at Benton Street Baptist Church,2014-10-29,6:30pm-8:00pm,Benton Street Neighbourhood,"A fun night for families of our community. Games, stories, contests, photo booth and snacks.","<b>Activity:</b> Fall Family Fun Fair<br><b>Location:</b> 90 Benton Street at Benton Street Baptist Church<br><b>Neighbourhood:</b> Benton Street Neighbourhood<br><b>Date:</b> 2014-10-29<br><b>Time:</b> 6:30pm-8:00pm<br><br><i>""A fun night for families of our community. Games, stories, contests, photo booth and snacks.""</i>",-80.4898308,43.4472742
N2H 5N2,Halloween Party,310 Louisa Street,2014-10-24,7:30pm-11:30pm,Victoria Common - Mt. Hope,"We have invited our clients, consultants, brokers who have worked with us, and friends we have met these last two years.","<b>Activity:</b> Halloween Party<br><b>Location:</b> 310 Louisa Street<br><b>Neighbourhood:</b> Victoria Common - Mt. Hope<br><b>Date:</b> 2014-10-24<br><b>Time:</b> 7:30pm-11:30pm<br><br><i>""We have invited our clients, consultants, brokers who have worked with us, and friends we have met these last two years.""</i>",-80.4900046,43.4608666
N2A 4L6,Oktoberfest event at Chicopee  ,"William Lewis St, then Chicopee Ski Resort",2014-10-18,,Tremaine Park,"We celebrated Kitchener's German heritage by celebrating Oktoberfest as a group. Before the festivities, one of the neighbourhood families welcomed anyone and everyone into their home for dinner.","<b>Activity:</b> Oktoberfest event at Chicopee  <br><b>Location:</b> William Lewis St, then Chicopee Ski Resort<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2014-10-18<br><b>Time:</b> <br><br><i>""We celebrated Kitchener's German heritage by celebrating Oktoberfest as a group. Before the festivities, one of the neighbourhood families welcomed anyone and everyone into their home for dinner.""</i>",-80.411613,43.4413016
N2A 4L6,"Annual Tremaine Park Tree Trimming
",At the Tremaine park Christmas Tree,2014-11-23,,Tremaine Park,"Weather wasn't cooperating much, so when we saw a sunny break, we reached out to as many park families as we could to invite them for cookies, hot chocolate, candy canes, and festive tree decorating fun!","<b>Activity:</b> Annual Tremaine Park Tree Trimming<br><b>Location:</b> At the Tremaine park Christmas Tree<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2014-11-23<br><b>Time:</b> <br><br><i>""Weather wasn't cooperating much, so when we saw a sunny break, we reached out to as many park families as we could to invite them for cookies, hot chocolate, candy canes, and festive tree decorating fun!""</i>",-80.411613,43.4413016
N2A 4L5,Colin's 3rd Annual Toy Drive for Anselma House,Colin's House on Sims Estate Dr,2014-11-30,12:30pm-2:30pm,Edgewater Estates,"Colin has been doing this for years now, and we often hear from others that he has inspired them to help the Anselma House specifically, or another charity of their choice. At the Toy Drive we always have a chance to meet new faces, and visit with familiar ones.","<b>Activity:</b> Colin's 3rd Annual Toy Drive for Anselma House<br><b>Location:</b> Colin's House on Sims Estate Dr<br><b>Neighbourhood:</b> Edgewater Estates<br><b>Date:</b> 2014-11-30<br><b>Time:</b> 12:30pm-2:30pm<br><br><i>""Colin has been doing this for years now, and we often hear from others that he has inspired them to help the Anselma House specifically, or another charity of their choice. At the Toy Drive we always have a chance to meet new faces, and visit with familiar ones.""</i>",-80.4098739,43.4402596
N2G 1K9,Holiday Potluck and Annual General Meeting,Victoria Park Pavilion,2014-11-23,6pm-9pm,Victoria Park Neighbourhood,"Neighbours are starting to see this as an annual event to get together and connect with other residents. It also informs residents of some of the great work the VPNA has been up to and provides an opportunity for residents to provide feedback on suggested improvements, ideas, etc.","<b>Activity:</b> Holiday Potluck and Annual General Meeting<br><b>Location:</b> Victoria Park Pavilion<br><b>Neighbourhood:</b> Victoria Park Neighbourhood<br><b>Date:</b> 2014-11-23<br><b>Time:</b> 6pm-9pm<br><br><i>""Neighbours are starting to see this as an annual event to get together and connect with other residents. It also informs residents of some of the great work the VPNA has been up to and provides an opportunity for residents to provide feedback on suggested improvements, ideas, etc.""</i>",-80.4981697,43.4449867
N2G 1K9,Lecture - Harold Russell about his experience growing up in Victoria Park during World War Two,Victoria Park Pavilion,2014-10-16,7pm:9pm,Victoria Park Neighbourhood ,Encourages neighbours to gather and learn about the history of the area/neighbourhood.,"<b>Activity:</b> Lecture - Harold Russell about his experience growing up in Victoria Park during World War Two<br><b>Location:</b> Victoria Park Pavilion<br><b>Neighbourhood:</b> Victoria Park Neighbourhood <br><b>Date:</b> 2014-10-16<br><b>Time:</b> 7pm:9pm<br><br><i>""Encourages neighbours to gather and learn about the history of the area/neighbourhood.""</i>",-80.4981697,43.4449867
N2A 2M4, Community Movie Night - Mr. Peabody and Sherman,Centreville-Chicopee Community Centre,2014-11-06,5:30pm-8:30pm,Centreville Chicopee,"Had new faces attend the event, as well as many people who have made these movie evenings a regular part of their attendance at the centre.","<b>Activity:</b>  Community Movie Night - Mr. Peabody and Sherman<br><b>Location:</b> Centreville-Chicopee Community Centre<br><b>Neighbourhood:</b> Centreville Chicopee<br><b>Date:</b> 2014-11-06<br><b>Time:</b> 5:30pm-8:30pm<br><br><i>""Had new faces attend the event, as well as many people who have made these movie evenings a regular part of their attendance at the centre.""</i>",-80.4295226,43.4283338
N2A 4L5,"1st Annual Lantern Walk
",Colin's House on Sims Estate Dr,2014-12-15,6.30pm,Edgewater Estates,"Kids brought glowsticks, flashlights and hot chocolate as we walked through the neighbourhood admiring the Christmas Lights.","<b>Activity:</b> 1st Annual Lantern Walk<br><b>Location:</b> Colin's House on Sims Estate Dr<br><b>Neighbourhood:</b> Edgewater Estates<br><b>Date:</b> 2014-12-15<br><b>Time:</b> 6.30pm<br><br><i>""Kids brought glowsticks, flashlights and hot chocolate as we walked through the neighbourhood admiring the Christmas Lights.""</i>",-80.4098739,43.4402596
N2E 4H9,"Family Day Activities, inside and outside",Max Becker common (weather permitting) and Williamsburg Community Centre,2015-02-16,1pm-4pm,Williamsburg,"Welcoming first time skaters and having freshly sharpened skates for them to borrow! Family Fun Photo studio, crafts, hot chocolate are the perfect invitations for neighbours.","<b>Activity:</b> Family Day Activities, inside and outside<br><b>Location:</b> Max Becker common (weather permitting) and Williamsburg Community Centre<br><b>Neighbourhood:</b> Williamsburg<br><b>Date:</b> 2015-02-16<br><b>Time:</b> 1pm-4pm<br><br><i>""Welcoming first time skaters and having freshly sharpened skates for them to borrow! Family Fun Photo studio, crafts, hot chocolate are the perfect invitations for neighbours.""</i>",-80.50286,43.4061138
