postalCode,activity,neighbourhood,date,popupContent,lon,lat
N2H 3H3,AGM,Auditorium Neighbourhood,2015-02-02,<b>Activity:</b> AGM<br><b>Neighbourhood:</b> Auditorium Neighbourhood<br><b>Date:</b> 2015-02-02,-80.4676766,43.449821
N2H 2B9,Waddle Walk,Auditorium Neighbourhood,2015-05-01,<b>Activity:</b> Waddle Walk<br><b>Neighbourhood:</b> Auditorium Neighbourhood<br><b>Date:</b> 2015-05-01,-80.4693275,43.4515261
N2K 1P3,Annual Christmas Party,Bridgeport,2015-12-24,<b>Activity:</b> Annual Christmas Party<br><b>Neighbourhood:</b> Bridgeport<br><b>Date:</b> 2015-12-24,-80.4879197,43.4779949
N2B 2G1,Family Skate and Movie,Bridgeport,2015-02-16,<b>Activity:</b> Family Skate and Movie<br><b>Neighbourhood:</b> Bridgeport<br><b>Date:</b> 2015-02-16,-80.4809698,43.4762201
N2H 1R9,Central Frederick Art Walk,Central Fredrick,2014-11-08,<b>Activity:</b> Central Frederick Art Walk<br><b>Neighbourhood:</b> Central Fredrick<br><b>Date:</b> 2014-11-08,-80.4784504,43.4546032
N2H 2P1,Winter Fun,Central Fredrick,2015-02-22,<b>Activity:</b> Winter Fun<br><b>Neighbourhood:</b> Central Fredrick<br><b>Date:</b> 2015-02-22,-80.4741931,43.4567084
N2H 2S3,Annual Garage Sale,Central Fredrick,2015-05-30,<b>Activity:</b> Annual Garage Sale<br><b>Neighbourhood:</b> Central Fredrick<br><b>Date:</b> 2015-05-30,-80.477234,43.4545013
N2H 2V3,Hohner Ave Porch Party,Central Fredrick,2015-05-30,<b>Activity:</b> Hohner Ave Porch Party<br><b>Neighbourhood:</b> Central Fredrick<br><b>Date:</b> 2015-05-30,-80.4798404,43.4515862
N2E 1H6,Family Day Crafts and Snacks,Chandler Mowat,20158-02-16,<b>Activity:</b> Family Day Crafts and Snacks<br><b>Neighbourhood:</b> Chandler Mowat<br><b>Date:</b> 20158-02-16,-80.4957376,43.4229901
N2G 1R4,Spring Cleaning,Cherry Park,2015-04-25,<b>Activity:</b> Spring Cleaning<br><b>Neighbourhood:</b> Cherry Park<br><b>Date:</b> 2015-04-25,-80.5094606,43.449362
N2G 1R3,Perennial Plant Sale,Cherry Park,2015-05-09,<b>Activity:</b> Perennial Plant Sale<br><b>Neighbourhood:</b> Cherry Park<br><b>Date:</b> 2015-05-09,-80.5073763,43.4497849
N2G 1M7,Harvest Festival,Cherry Park,2015-09-01,<b>Activity:</b> Harvest Festival<br><b>Neighbourhood:</b> Cherry Park<br><b>Date:</b> 2015-09-01,-80.5061604,43.4504295
N2G 2E5,Corn Social,Cherry Park,2015-09-01,<b>Activity:</b> Corn Social<br><b>Neighbourhood:</b> Cherry Park<br><b>Date:</b> 2015-09-01,-80.5036417,43.453875
N2G 1R4,Cherry Festival,Cherry Park,2014-06-04,<b>Activity:</b> Cherry Festival<br><b>Neighbourhood:</b> Cherry Park<br><b>Date:</b> 2014-06-04,-80.5094606,43.449362
N2G 2G9,Community Meeting,Cherry Park,2015-03-05,<b>Activity:</b> Community Meeting<br><b>Neighbourhood:</b> Cherry Park<br><b>Date:</b> 2015-03-05,-80.5144108,43.4529833
N2A 3R7,Family Day Movie,Chicopee-Centreville,2015-02-16,<b>Activity:</b> Family Day Movie<br><b>Neighbourhood:</b> Chicopee-Centreville<br><b>Date:</b> 2015-02-16,-80.4373461,43.4485423
N2A 3M7,Skating Party,Chicopee-Centreville,2015-01-28,<b>Activity:</b> Skating Party<br><b>Neighbourhood:</b> Chicopee-Centreville<br><b>Date:</b> 2015-01-28,-80.431609,43.447612
N2E 2X2,Family Day Fun,Country Hills,2015-02-16,<b>Activity:</b> Family Day Fun<br><b>Neighbourhood:</b> Country Hills<br><b>Date:</b> 2015-02-16,-80.4835761,43.408534
N2E 2M9,Christmas Craft Sale,Country Hills ,2014-11-01,<b>Activity:</b> Christmas Craft Sale<br><b>Neighbourhood:</b> Country Hills <br><b>Date:</b> 2014-11-01,-80.4847923,43.4117718
N2P 2X3,Movie and Pizza,Doon Pioneer Park,2015-02-16,<b>Activity:</b> Movie and Pizza<br><b>Neighbourhood:</b> Doon Pioneer Park<br><b>Date:</b> 2015-02-16,-80.4274363,43.3815649
N2P 2W6,Christmas Party,Doon Pioneer Park,2014-12-01,<b>Activity:</b> Christmas Party<br><b>Neighbourhood:</b> Doon Pioneer Park<br><b>Date:</b> 2014-12-01,-80.4359553,43.3839252
N2H 3W7,Movie Nights,Downtown Neighbourhood Alliance ,2015-02-20,<b>Activity:</b> Movie Nights<br><b>Neighbourhood:</b> Downtown Neighbourhood Alliance <br><b>Date:</b> 2015-02-20,-80.4905258,43.4521074
N2N 2G4,Pizza with Santa,Forest Heights,2014-12-01,<b>Activity:</b> Pizza with Santa<br><b>Neighbourhood:</b> Forest Heights<br><b>Date:</b> 2014-12-01,-80.5266546,43.4267644
N2N 2Y2,Ballroom and Tea,Forest Heights,2014-12-07,<b>Activity:</b> Ballroom and Tea<br><b>Neighbourhood:</b> Forest Heights<br><b>Date:</b> 2014-12-07,-80.52596,43.4308867
N2N 3M4,Family Day Activities,Forest Heights,2015-02-16,<b>Activity:</b> Family Day Activities<br><b>Neighbourhood:</b> Forest Heights<br><b>Date:</b> 2015-02-16,-80.5297804,43.4309063
N2E 2R1,Fall Festival,Glencairn,2014-10-14,<b>Activity:</b> Fall Festival<br><b>Neighbourhood:</b> Glencairn<br><b>Date:</b> 2014-10-14,-80.4906995,43.4107726
N2E 3N1,Winter Festival,Glencairn,2015-02-14,<b>Activity:</b> Winter Festival<br><b>Neighbourhood:</b> Glencairn<br><b>Date:</b> 2015-02-14,-80.4962588,43.4112374
N2C 1Y1,Halloween Party,Kingsdale,2014-10-01,<b>Activity:</b> Halloween Party<br><b>Neighbourhood:</b> Kingsdale<br><b>Date:</b> 2014-10-01,-80.4583787,43.4274751
N2C 2R7,Family Day Movie,Kingsdale,2015-02-16,<b>Activity:</b> Family Day Movie<br><b>Neighbourhood:</b> Kingsdale<br><b>Date:</b> 2015-02-16,-80.4583787,43.4298635
N2H 1N2,Pancake Breakfast,Lancaster,2015-02-16,<b>Activity:</b> Pancake Breakfast<br><b>Neighbourhood:</b> Lancaster<br><b>Date:</b> 2015-02-16,-80.4814911,43.4522467
N2H 4E5,Lantern Walk,Mount Hope-Breithaupt Park ,2014-12-22,<b>Activity:</b> Lantern Walk<br><b>Neighbourhood:</b> Mount Hope-Breithaupt Park <br><b>Date:</b> 2014-12-22,-80.4958245,43.4621737
N2M 3R2,Hot Chocolate Party,Mill-Courtland,2015-02-16,<b>Activity:</b> Hot Chocolate Party<br><b>Neighbourhood:</b> Mill-Courtland<br><b>Date:</b> 2015-02-16,-80.487746,43.4384438
N2H 5T4,Winterfest,Mount Hope-Breithaupt Park ,2015-02-21,<b>Activity:</b> Winterfest<br><b>Neighbourhood:</b> Mount Hope-Breithaupt Park <br><b>Date:</b> 2015-02-21,-80.486356,43.4633958
N2H 6C1,Neighbourhood Picnic-Neighbourhood Pen Pals ,Mount Hope-Breithaupt Park ,2015-06-06,<b>Activity:</b> Neighbourhood Picnic-Neighbourhood Pen Pals <br><b>Neighbourhood:</b> Mount Hope-Breithaupt Park <br><b>Date:</b> 2015-06-06,-80.4944347,43.4656379
N2R 1Z1,Huron Community,Parkvale Park,2015-06-06,<b>Activity:</b> Huron Community<br><b>Neighbourhood:</b> Parkvale Park<br><b>Date:</b> 2015-06-06,-80.4761046,43.3922251
N2A 2A9,Christmas Party,Stanley Park Community Centre,2014-12-01,<b>Activity:</b> Christmas Party<br><b>Neighbourhood:</b> Stanley Park Community Centre<br><b>Date:</b> 2014-12-01,-80.4488191,43.4489099
N2A 2A8,Open House and AGM,Stanley Park ,2015-01-20,<b>Activity:</b> Open House and AGM<br><b>Neighbourhood:</b> Stanley Park <br><b>Date:</b> 2015-01-20,-80.446907,43.4488985
N2A 2A9,2nd Annual Family Day Fun,Stanley Park ,2015-02-16,<b>Activity:</b> 2nd Annual Family Day Fun<br><b>Neighbourhood:</b> Stanley Park <br><b>Date:</b> 2015-02-16,-80.4488191,43.4489099
N2A 1Z2,Bike Safety Day,Stanley Park ,2015-05-01,<b>Activity:</b> Bike Safety Day<br><b>Neighbourhood:</b> Stanley Park <br><b>Date:</b> 2015-05-01,-80.4495144,43.4468793
N2M 2G3,Movie Nights,Victoria Hills,2015-03-21,<b>Activity:</b> Movie Nights<br><b>Neighbourhood:</b> Victoria Hills<br><b>Date:</b> 2015-03-21,-80.523355,43.4427604
N2M 2G2,Visit with Santa and Erick Traplin,Victoria Hills,2014-12-06,<b>Activity:</b> Visit with Santa and Erick Traplin<br><b>Neighbourhood:</b> Victoria Hills<br><b>Date:</b> 2014-12-06,-80.5256127,43.4422022
N2M 2J2,Annual Garage Sale,Victoria Hills,2015-03-21,<b>Activity:</b> Annual Garage Sale<br><b>Neighbourhood:</b> Victoria Hills<br><b>Date:</b> 2015-03-21,-80.5193606,43.4473524
N2M 3G1,Family Day BBQ Fundraiser for the Rink House in Glendale Park,Glendale Park,2015-02-15,<b>Activity:</b> Family Day BBQ Fundraiser for the Rink House in Glendale Park<br><b>Neighbourhood:</b> Glendale Park<br><b>Date:</b> 2015-02-15,-80.497388,43.4367873
N2H 1G2,Outdoor Neighbourhood Party,Auditorium Neighbourhood,2015-03-01,<b>Activity:</b> Outdoor Neighbourhood Party<br><b>Neighbourhood:</b> Auditorium Neighbourhood<br><b>Date:</b> 2015-03-01,-80.4719341,43.4468205
N2M 1X2,Brews and Stews,Brock Street,2015-02-28,<b>Activity:</b> Brews and Stews<br><b>Neighbourhood:</b> Brock Street<br><b>Date:</b> 2015-02-28,-80.5003412,43.4418102
N2A 4L9,Earth Day Neighbourhood Cleanup,Tremaine Park,2015-05-01,<b>Activity:</b> Earth Day Neighbourhood Cleanup<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2015-05-01,-80.4135258,43.4419106
N2A 4M1,Neighbourhood Garage Sale,Tremaine Park,2015-05-02,<b>Activity:</b> Neighbourhood Garage Sale<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2015-05-02,-80.407961,43.4438287
N2A 4L7,Family BBQ,Tremaine Park,2015-06-01,<b>Activity:</b> Family BBQ<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2015-06-01,-80.4107435,43.4434666
N2E 2X1,Family Fun Day,Country Hills ,2015-04-26,<b>Activity:</b> Family Fun Day<br><b>Neighbourhood:</b> Country Hills <br><b>Date:</b> 2015-04-26,-80.484358,43.4088234
N2P 1L6,Easter Party,Doon Pioneer Park,2015-03-29,<b>Activity:</b> Easter Party<br><b>Neighbourhood:</b> Doon Pioneer Park<br><b>Date:</b> 2015-03-29,-80.4502965,43.3917785
N2P 1L4,Spring Family Fun,Doon Pioneer Park,2015-04-24,<b>Activity:</b> Spring Family Fun<br><b>Neighbourhood:</b> Doon Pioneer Park<br><b>Date:</b> 2015-04-24,-80.4491667,43.3922065
N2P 1P5,Doon Pioneer Park Community Association Annual General Meeting ,Doon Pioneer Park,2015-04-15,<b>Activity:</b> Doon Pioneer Park Community Association Annual General Meeting <br><b>Neighbourhood:</b> Doon Pioneer Park<br><b>Date:</b> 2015-04-15,-80.4516002,43.3942034
